ID_Cliente,Edad,Numero_Compras,Promedio_Ticket,Estado,Categoria_Favorita,Fecha_Ultima_Compra,Valor_Cliente
C1,23,14,249.16,CDMX,Moda,2026-06-09 23:24:08.918606,3488.24
C2,38,4,1042.55,CDMX,Moda,2026-05-24 23:24:08.918606,4170.2
C3,37,5,257.19,CDMX,Moda,2026-05-31 23:24:08.918606,1285.95
C4,44,2,2089.03,Estado de México,Electrónica,2026-06-11 23:24:08.918606,4178.06
C5,41,9,2657.04,Jalisco,Moda,2026-06-12 23:24:08.918606,23913.36
C6,64,4,1056.8,CDMX,Electrónica,2026-06-04 23:24:08.918606,4227.2
C7,23,10,1805.91,Estado de México,Videojuegos,2026-06-11 23:24:08.918606,18059.100000000002
C8,64,7,2852.96,Jalisco,Electrónica,2026-05-21 23:24:08.918606,19970.72
C9,36,6,1913.1,CDMX,Hogar,2026-06-12 23:24:08.918606,11478.599999999999
C10,59,4,788.99,Puebla,Hogar,2026-06-13 23:24:08.918606,3155.96
C11,49,3,1040.62,Estado de México,Hogar,2026-05-31 23:24:08.918606,3121.8599999999997
C12,39,14,2788.88,Nuevo León,Hogar,2026-05-20 23:24:08.918606,39044.32
C13,27,4,1575.8,Puebla,Electrónica,2026-05-18 23:24:08.918606,6303.2
C14,36,9,1826.25,Estado de México,Videojuegos,2026-05-25 23:24:08.918606,16436.25
C15,62,12,250.96,Nuevo León,Deportes,2026-05-30 23:24:08.918606,3011.52
C16,51,11,155.44,Jalisco,Deportes,2026-05-19 23:24:08.918606,1709.84
C17,39,4,244.72,Puebla,Videojuegos,2026-06-11 23:24:08.918606,978.88
C18,32,2,539.36,Estado de México,Deportes,2026-06-14 23:24:08.918606,1078.72
C19,35,5,2772.35,Nuevo León,Electrónica,2026-05-23 23:24:08.918606,13861.75
C20,62,9,2188.3,Nuevo León,Videojuegos,2026-06-07 23:24:08.918606,19694.7
