Producto,Cantidad,Precio,Fecha,Total
Teclado,5,158.32,2026-06-13 23:25:26.708798,791.5999999999999
Audífonos,3,217.08,2026-06-10 23:25:26.708798,651.24
Laptop,5,896.27,2026-06-13 23:25:26.708798,4481.35
Mouse,2,546.13,2026-06-13 23:25:26.708798,1092.26
Laptop,4,699.3,2026-06-15 23:25:26.708798,2797.2
Mouse,7,555.08,2026-06-09 23:25:26.708798,3885.5600000000004
Teclado,5,507.11,2026-06-11 23:25:26.708798,2535.55
Mouse,3,264.38,2026-06-15 23:25:26.708798,793.14
Teclado,2,118.15,2026-06-09 23:25:26.708798,236.3
Monitor,9,512.27,2026-06-12 23:25:26.708798,4610.43
